Zipcode,Region
29439,SouthCarolina          
29440,SouthCarolina          
29445,SouthCarolina          
29446,SouthCarolina          
29448,SouthCarolina          
29449,SouthCarolina          
29450,SouthCarolina          
29451,SouthCarolina          
29452,SouthCarolina          
29453,SouthCarolina          
29455,SouthCarolina          
29456,SouthCarolina          
29458,SouthCarolina          
29461,SouthCarolina          
29464,SouthCarolina          
29466,SouthCarolina          
29468,SouthCarolina          
29469,SouthCarolina          
29470,SouthCarolina          
29471,SouthCarolina          
29472,SouthCarolina          
29474,SouthCarolina          
29475,SouthCarolina          
29477,SouthCarolina          
29479,SouthCarolina          
29481,SouthCarolina          
29482,SouthCarolina          
29483,SouthCarolina          
29485,SouthCarolina          
29487,SouthCarolina          
29488,SouthCarolina          
29492,SouthCarolina          
29493,SouthCarolina          
30303,Atlanta                
30305,Atlanta                
30306,Atlanta                
30307,Atlanta                
30308,Atlanta                
30309,Atlanta                
30310,Atlanta                
30311,Atlanta                
30312,Atlanta                
30313,Atlanta                
30314,Atlanta                
30315,Atlanta                
30316,Atlanta                
30317,Atlanta                
30318,Atlanta                
30319,Atlanta                
30324,Atlanta                
30326,Atlanta                
30327,Atlanta                
30328,Atlanta                
30329,Atlanta                
30331,Atlanta                
30336,Atlanta                
30337,Atlanta                
30338,Atlanta                
30339,Atlanta                
30340,Atlanta                
30341,Atlanta                
30342,Atlanta                
30344,Atlanta                
30345,Atlanta                
30346,Atlanta                
30349,Atlanta                
30350,Atlanta                
30354,Atlanta                
30360,Atlanta                
30363,Atlanta                
30401,Atlanta                
30410,Atlanta                
30411,Atlanta                
30415,Atlanta                
30417,Atlanta                
30420,Atlanta                
30421,Atlanta                
30423,Atlanta                
30425,Atlanta                
30426,Atlanta                
30427,Atlanta                
30428,Atlanta                
30429,Atlanta                
30434,Atlanta                
30436,Atlanta                
30439,Atlanta                
30441,Atlanta                
30442,Atlanta                
30445,Atlanta                
30446,Atlanta                
30448,Atlanta                
30449,Atlanta                
30450,Atlanta                
30451,Atlanta                
30452,Atlanta                
30453,Atlanta                
30454,Atlanta                
30455,Atlanta                
30456,Atlanta                
30457,Atlanta                
30458,Atlanta                
30461,Atlanta                
30464,Atlanta                
30467,Atlanta                
30470,Atlanta                
30471,Atlanta                
30473,Atlanta                
30474,Atlanta                
30477,Atlanta                
30501,Atlanta                
30504,Atlanta                
30506,Atlanta                
30507,Atlanta                
30510,Atlanta                
30511,Atlanta                
30512,Atlanta                
30513,Atlanta                
30516,Atlanta                
30517,Atlanta                
30518,Atlanta                
30519,Atlanta                
30520,Atlanta                
30521,Atlanta                
30522,Atlanta                
30523,Atlanta                
30525,Atlanta                
30527,Atlanta                
30528,Atlanta                
30529,Atlanta                
30530,Atlanta                
30531,Atlanta                
30533,Atlanta                
30534,Atlanta                
30535,Atlanta                
30536,Atlanta                
30537,Atlanta                
30538,Atlanta                
30540,Atlanta                
30541,Atlanta                
30542,Atlanta                
30543,Atlanta                
30545,Atlanta                
30546,Atlanta                
30547,Atlanta                
30548,Atlanta                
30549,Atlanta                
30552,Atlanta                
30553,Atlanta                
30554,Atlanta                
30555,Atlanta                
30557,Atlanta                
30558,Atlanta                
30559,Atlanta                
30560,Atlanta                
30562,Atlanta                
30563,Atlanta                
30564,Atlanta                
30565,Atlanta                
30566,Atlanta                
30567,Atlanta                
30568,Atlanta                
30571,Atlanta                
30572,Atlanta                
30573,Atlanta                
30575,Atlanta                
30576,Atlanta                
